Handles  NPM(K)     PM(K)     WS(K)   CPU(s)      Id  SI  ProcessName        Path
-------  ------     -----     -----   ------      --  --  -----------        ----
    567       6    172842    180264    32.28     632   1  RuntimeBroker      C:\Windows\System32\RuntimeBroker.exe
    584      41     92961    103937    19.94     662   1  chrome             C:\Program Files\Google\Chrome\Application\chrome.exe
   1145      16    162430    167011     3.32     702   1  notepad            C:\Windows\System32\notepad.exe
    911      25     77200     82074     0.08     756   1  slack              C:\Users\jsmith\AppData\Local\slack\slack.exe
    540       8     73073     83879     8.93     781   1  firefox            C:\Program Files\Mozilla Firefox\firefox.exe
    443      38    131937    151857    16.62     803   1  vlc                C:\Program Files\VideoLAN\VLC\vlc.exe
   1100      56     49925     68646     8.19     814   1  dwm                C:\Windows\System32\dwm.exe
    904      57     24579     31044    30.75     842   1  Teams              C:\Users\jsmith\AppData\Local\Microsoft\Teams\current\Teams.exe
   1092       9     40876     56669    23.44     851   1  firefox            C:\Program Files\Mozilla Firefox\firefox.exe
   1158      60     76100     93563    23.94     871   1  sihost             C:\Windows\System32\sihost.exe
   1279      31    115996    128435    42.32     927   1  chrome             C:\Program Files\Google\Chrome\Application\chrome.exe
    288      14    122903    140772    25.55     943   1  ctfmon             C:\Windows\System32\ctfmon.exe
    528      37    160448    168618    15.89     954   1  acrord32           C:\Program Files (x86)\Adobe\Acrobat Reader DC\Reader\AcroRd32.exe
   1050      46     46983     57075    10.49    1012   1  powershell         C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
   1160      35    124509    135453     1.59    1064   1  OneDrive           C:\Users\jsmith\AppData\Local\Microsoft\OneDrive\OneDrive.exe
    589      12    107463    111410    41.16    1085   1  SecurityHealthService C:\Windows\System32\SecurityHealthService.exe
    408      29     29070     36328    20.66    1129   1  outlook            C:\Program Files\Microsoft Office\root\Office16\OUTLOOK.EXE
   1199      55     69733     71403    25.22    1177   1  Spotify            C:\Users\jsmith\AppData\Roaming\Spotify\Spotify.exe
    268      55     39101     44746     5.23    1211   1  SecurityHealthService C:\Windows\System32\SecurityHealthService.exe
    512      13     71294     81714    32.37    1253   1  chrome             C:\Program Files\Google\Chrome\Application\chrome.exe
    186      35    148231    157489    14.76    1277   1  cmd                C:\Windows\System32\cmd.exe
   1098      46     41056     60293     8.08    1290   1  dllhost            C:\Windows\System32\dllhost.exe
    633      41    115674    119039    39.99    1344   1  chrome             C:\Program Files\Google\Chrome\Application\chrome.exe
   1371      39     30138     35559    10.66    1379   1  fontdrvhost        C:\Windows\System32\fontdrvhost.exe
   1153      39     78913     97524    43.91    1401   1  spoolsv            C:\Windows\System32\spoolsv.exe
    926       7    131522    138507    34.30    1444   1  notepad            C:\Windows\System32\notepad.exe
